Order_id,Order Date,Product Name,Category,Region,Quantity,Sales,Profit
1,31-12-2024,Printer,Office,North,4,3640,348.93
2,27-11-2022,Mouse,Accessories,East,7,1197,106.53
3,11-05-2022,Tablet,Electronics,South,5,5865,502.73
4,16-03-2024,Mouse,Accessories,South,2,786,202.87
5,10-09-2022,Mouse,Accessories,West,1,509,103.28
6,01-12-2023,Camera,Electronics,West,1,524,106.35
7,09-10-2023,Headphones,Accessories,North,7,6167,1027.98
8,14-01-2022,Camera,Electronics,South,7,3059,873.5
9,02-04-2022,Smartwatch,Electronics,East,9,5526,595.28
10,22-10-2024,Printer,Office,South,8,672,186.37
11,04-12-2023,Monitor,Accessories,South,6,7074,1357.68
12,27-09-2022,Smartwatch,Electronics,East,2,502,137.4
13,21-12-2023,Tablet,Electronics,North,7,7462,2166.17
14,03-02-2024,Smartphone,Electronics,West,5,4205,585.29
15,10-10-2023,Camera,Electronics,West,1,570,138.54
16,16-10-2022,Headphones,Accessories,East,1,441,102.42
17,15-05-2022,Mouse,Accessories,North,7,7469,589.81
18,11-02-2023,Tablet,Electronics,South,2,2212,145.75
19,27-12-2023,Tablet,Electronics,East,5,740,146.39
20,05-10-2023,Headphones,Accessories,North,1,662,193.92
21,05-03-2024,Mouse,Accessories,North,7,5712,651.27
22,18-07-2023,Smartwatch,Electronics,North,3,2739,572.73
23,25-06-2023,Keyboard,Accessories,West,5,1400,213.63
24,13-11-2023,Printer,Office,North,3,3477,939.2
25,09-07-2022,Camera,Electronics,North,5,3475,570.36
26,11-12-2023,Laptop,Electronics,West,9,6138,1562.14
27,18-03-2023,Camera,Electronics,West,5,3665,406.93
28,09-08-2024,Printer,Office,North,2,2372,206.42
29,04-05-2024,Laptop,Electronics,North,2,1382,211.11
30,04-09-2022,Laptop,Electronics,West,1,1126,194.08
31,21-10-2022,Printer,Office,West,8,1376,152.1
32,22-01-2024,Mouse,Accessories,West,4,988,147.91
33,09-04-2023,Laptop,Electronics,North,9,10773,1907.36
34,07-02-2023,Headphones,Accessories,South,4,3252,713.46
35,04-05-2023,Headphones,Accessories,North,3,2739,202.81
36,18-04-2023,Tablet,Electronics,South,7,2709,702.79
37,12-12-2022,Printer,Office,West,3,936,201.24
38,11-09-2022,Camera,Electronics,West,4,3720,410.92
39,26-03-2024,Mouse,Accessories,West,5,5320,716.91
40,20-09-2023,Headphones,Accessories,East,4,804,121.51
41,25-05-2023,Laptop,Electronics,North,8,1224,246.77
42,04-12-2022,Headphones,Accessories,South,9,8667,781.78
43,10-06-2022,Monitor,Accessories,West,3,3018,320.11
44,05-02-2023,Laptop,Electronics,West,5,4325,1023.39
45,20-01-2024,Laptop,Electronics,South,3,1557,181.08
46,27-01-2022,Monitor,Accessories,South,6,3672,1002.5
47,29-03-2023,Mouse,Accessories,West,1,333,72.34
48,17-01-2022,Headphones,Accessories,West,4,2384,577.26
49,26-11-2024,Mouse,Accessories,West,6,888,210.39
50,19-09-2024,Laptop,Electronics,West,5,3280,954.17
51,20-07-2023,Mouse,Accessories,South,7,1239,177.39
52,03-05-2024,Headphones,Accessories,East,8,5880,436.85
53,03-09-2022,Smartphone,Electronics,West,2,1668,437.3
54,09-07-2024,Printer,Office,West,7,4109,1037.64
55,17-11-2022,Smartwatch,Electronics,West,7,595,148.5
56,28-12-2023,Headphones,Accessories,East,7,8155,1587.91
57,30-05-2022,Monitor,Accessories,South,3,1872,553.1
58,17-04-2024,Smartwatch,Electronics,East,6,2124,126.03
59,30-09-2024,Monitor,Accessories,West,5,5210,1338.8
60,02-06-2024,Mouse,Accessories,South,7,5761,362.48
61,26-09-2022,Headphones,Accessories,South,7,6895,1596.35
62,17-12-2024,Smartwatch,Electronics,East,3,2118,317.08
63,09-10-2024,Smartwatch,Electronics,North,5,830,58.28
64,14-07-2023,Smartwatch,Electronics,North,1,851,93.56
65,05-12-2023,Tablet,Electronics,East,5,4730,1365.63
66,03-06-2022,Mouse,Accessories,West,6,5460,845.75
67,28-12-2024,Headphones,Accessories,East,5,5795,310.6
68,06-08-2022,Laptop,Electronics,South,4,2008,338.44
69,06-06-2023,Mouse,Accessories,South,7,2842,425.24
70,01-02-2024,Mouse,Accessories,East,4,3404,392.22
71,31-05-2023,Smartwatch,Electronics,West,1,1065,228.63
72,14-06-2024,Tablet,Electronics,West,7,2149,121.69
73,14-08-2024,Keyboard,Accessories,East,8,5912,1143.04
74,01-02-2023,Mouse,Accessories,West,3,3348,331.28
75,28-04-2024,Smartphone,Electronics,South,3,2409,531.79
76,05-04-2024,Tablet,Electronics,North,2,328,39.51
77,31-01-2024,Smartphone,Electronics,West,8,6224,1561.42
78,09-01-2024,Smartwatch,Electronics,North,5,2530,486.09
79,06-04-2022,Headphones,Accessories,West,4,4108,462.17
80,22-05-2024,Printer,Office,South,5,1640,391.36
81,30-12-2023,Laptop,Electronics,South,1,111,19.33
82,17-03-2022,Headphones,Accessories,North,1,445,128.89
83,24-05-2022,Printer,Office,North,4,3600,623.72
84,09-06-2024,Mouse,Accessories,North,3,1335,176.44
85,01-12-2024,Keyboard,Accessories,South,5,3090,242.15
86,20-10-2023,Printer,Office,East,5,3910,538.52
87,05-03-2024,Camera,Electronics,South,1,219,32.67
88,05-12-2022,Smartphone,Electronics,West,5,390,27.77
89,05-08-2022,Laptop,Electronics,North,6,3294,359.61
90,21-03-2023,Keyboard,Accessories,West,4,4572,1038.05
91,08-02-2022,Monitor,Accessories,South,7,980,109.94
92,01-04-2023,Headphones,Accessories,North,2,2262,532.12
93,14-12-2022,Camera,Electronics,South,7,7518,1655.91
94,14-05-2022,Camera,Electronics,South,1,873,158.97
95,16-02-2022,Mouse,Accessories,North,6,1512,423.03
96,28-08-2024,Laptop,Electronics,West,1,705,165.16
97,30-10-2023,Smartwatch,Electronics,North,8,3256,533.7
98,24-06-2023,Tablet,Electronics,West,4,556,81.77
99,17-05-2023,Mouse,Accessories,East,9,7101,2105.82
100,06-04-2023,Laptop,Electronics,West,9,8802,1344.96
101,26-03-2023,Headphones,Accessories,South,6,5592,1294.16
102,12-10-2024,Tablet,Electronics,North,2,1852,168.92
